id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,id,business_id,user_id,stars,date,useful,funny,cool,id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
78XbdLi5e42XDxgnxuYacg,"Ohjah Japanese Steakhouse Sushi & Hibachi Flamingo","Spring Valley","10144 W Flamingo Rd","Las Vegas",NV,89147,36.1154,-115.314,4.5,299,1,PssY9FlZU-4tqKRpU-0gCg,78XbdLi5e42XDxgnxuYacg,-5ye1ya0wRQhNRF9NfQ1fA,5,"2016-11-22 00:00:00",1,0,0,-5ye1ya0wRQhNRF9NfQ1fA,Becca,95,"2014-02-04 00:00:00",4,0,0,3,4.36,2,0,0,0,0,3,1,2,2,0,4
d6_UHGiMQb5_m8mi_tRc2Q,"Mermaid's Casino",Downtown,"32 Fremont St","Las Vegas",NV,89136,36.1715,-115.145,3.5,298,0,8HzREtuUvqajJaC0TJdyUQ,d6_UHGiMQb5_m8mi_tRc2Q,-7IMRsmV-Gt7KAK3yivZGQ,3,"2011-06-06 00:00:00",1,1,0,-7IMRsmV-Gt7KAK3yivZGQ,Matt,447,"2009-02-26 00:00:00",2686,1600,692,46,3.63,24,13,8,1,0,32,51,24,24,29,23
uE1sIGWRJwpLPN858FRPRw,"Hershey's Chocolate World","The Strip","3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.102,-115.174,3.5,299,1,4GOgG9NmY7m7ge6_8cyOMA,uE1sIGWRJwpLPN858FRPRw,-7PoA5pm2biQB7CqMwrjCA,3,"2016-12-27 00:00:00",0,0,0,-7PoA5pm2biQB7CqMwrjCA,Elle,11,"2016-12-25 00:00:00",4,0,0,0,1.73,1,1,0,0,0,3,1,1,1,0,0
EZ4TljJvGenxrkM4JsqtZg,Sushi-ko,Northwest,"7101 W Craig Rd","Las Vegas",NV,89129,36.24,-115.25,3.5,297,1,a0RchbxCrT0P0f_B1phGog,EZ4TljJvGenxrkM4JsqtZg,-8FDlhUsu5_lVONV_aOnGA,5,"2013-06-13 00:00:00",1,1,1,-8FDlhUsu5_lVONV_aOnGA,Erin,41,"2012-09-03 00:00:00",17,1,0,1,2.86,0,0,0,0,0,0,0,2,2,1,0
oH6QAuoTLFaX97oqqpLTMg,"Familia Pizzeria",Southwest,"8090 S Durango Dr","Las Vegas",NV,89113,36.0425,-115.278,4,300,1,EjLrVP3SaX2yObYR5K4cbw,oH6QAuoTLFaX97oqqpLTMg,-95gDpECFDSjWEL1AIrkAA,1,"2016-06-07 00:00:00",4,4,1,-95gDpECFDSjWEL1AIrkAA,Compass-Rose,188,"2011-03-06 00:00:00",270,27,15,2,2.58,0,0,0,0,0,8,3,2,2,1,1
uE1sIGWRJwpLPN858FRPRw,"Hershey's Chocolate World","The Strip","3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.102,-115.174,3.5,299,1,bIC8JTjRLNlZxJFNxmoYUg,uE1sIGWRJwpLPN858FRPRw,-9da1xk7zgnnfO1uTVYGkA,3,"2015-05-30 00:00:00",5,3,4,-9da1xk7zgnnfO1uTVYGkA,Fran,930,"2012-04-05 00:00:00",11907,9586,11385,152,4.1,2586,73,112,43,1,733,1866,4787,4787,798,2860
pDSl9xdKJCdN4vu8z26cEA,"Coyote Ugly Saloon","The Strip","3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.1015,-115.174,2.5,297,1,ctzI0oO8_6xSjHa1f7uu5g,pDSl9xdKJCdN4vu8z26cEA,-9usdA14uv1m9Ja9B_4PPg,1,"2014-08-24 00:00:00",0,0,0,-9usdA14uv1m9Ja9B_4PPg,Alex,2,"2014-08-24 00:00:00",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Po0QGzgwFrfnGJEi_akCjA,"KG BBQ",Chinatown,"4355 Spring Mountain Rd, Ste 201","Las Vegas",NV,89102,36.1259,-115.198,3,299,1,37RAf2Kmd3RIm46MBspXHg,Po0QGzgwFrfnGJEi_akCjA,-a154p-R4irsTXrZQ9jmYA,3,"2016-12-16 00:00:00",0,0,0,-a154p-R4irsTXrZQ9jmYA,"Juro Ann",2,"2016-12-16 00:00:00",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
W90h9VXUSdRz1_uJhweVPQ,Yusho,"The Strip","3770 Las Vegas Blvd S","Las Vegas",NV,89109,36.1045,-115.177,3,297,0,xv81wCCTDRFQJDFfQNcE7A,W90h9VXUSdRz1_uJhweVPQ,-AFsKYwdnaRz5QdEyJ2GrQ,5,"2015-01-07 00:00:00",1,0,0,-AFsKYwdnaRz5QdEyJ2GrQ,Bill,3,"2014-12-02 00:00:00",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
pDSl9xdKJCdN4vu8z26cEA,"Coyote Ugly Saloon","The Strip","3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.1015,-115.174,2.5,297,1,sGn0yZLHVolRjkm7-SNshA,pDSl9xdKJCdN4vu8z26cEA,-aUOAVRvdLnryQLI4tY8LQ,3,"2011-01-30 00:00:00",2,1,0,-aUOAVRvdLnryQLI4tY8LQ,Yelena,88,"2009-08-23 00:00:00",2,2,0,1,3.77,0,1,0,0,0,0,1,1,1,2,0
dZB5VuI4mCVRz8qQUwUgCg,"Krazy Sushi",Centennial,"7160 N Durango Dr, Ste 140","Las Vegas",NV,89149,36.2915,-115.287,3.5,300,1,MMsU3ITgxT1t__uL2Li5yg,dZB5VuI4mCVRz8qQUwUgCg,-B731Wh1510uXX9eC1orQQ,4,"2012-05-14 00:00:00",5,2,5,-B731Wh1510uXX9eC1orQQ,Scott,31,"2010-07-31 00:00:00",33,14,4,2,2.97,1,3,0,0,0,2,4,2,2,1,0
cNx3qzQ55JXpjZEt4lc7Tg,"Recess Italian Ice & Desserts","Spring Valley","5035 S Fort Apache Rd, Ste 104","Las Vegas",NV,89148,36.0977,-115.298,4,300,1,z-_pgZu-uQm4jhlgnG7oSw,cNx3qzQ55JXpjZEt4lc7Tg,-C9TzyciiJwct30Mwm_o9Q,1,"2017-06-25 00:00:00",0,0,0,-C9TzyciiJwct30Mwm_o9Q,Bella,26,"2014-11-02 00:00:00",4,2,2,0,2.95,0,0,0,0,0,0,0,0,0,0,0
uE1sIGWRJwpLPN858FRPRw,"Hershey's Chocolate World","The Strip","3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.102,-115.174,3.5,299,1,az6j491qg7s4QFyk4yzBeQ,uE1sIGWRJwpLPN858FRPRw,-ceiGRoOnrcGZ6rjZWhYlQ,1,"2015-05-31 00:00:00",0,0,0,-ceiGRoOnrcGZ6rjZWhYlQ,Robyn,37,"2010-08-28 00:00:00",0,2,1,1,3.68,0,0,0,0,0,1,1,0,0,0,0
aS1qJzTGyluRT2tJ09Jbaw,"Magal BBQ",Chinatown,"4240 Spring Mountain Rd","Las Vegas",NV,89102,36.1268,-115.197,4.5,299,1,uTj_7UK2OXQ_rsKd2LbNeA,aS1qJzTGyluRT2tJ09Jbaw,-c_QskvoXz1M53XgfHxKtQ,5,"2016-07-20 00:00:00",0,0,0,-c_QskvoXz1M53XgfHxKtQ,Minju,4,"2015-09-29 00:00:00",0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0
oH6QAuoTLFaX97oqqpLTMg,"Familia Pizzeria",Southwest,"8090 S Durango Dr","Las Vegas",NV,89113,36.0425,-115.278,4,300,1,VYpe0H8LXi6lAYA5wy7nmw,oH6QAuoTLFaX97oqqpLTMg,-d-7l0r-kXhYf9MZaqo4cA,5,"2012-11-02 00:00:00",4,1,0,-d-7l0r-kXhYf9MZaqo4cA,Shaun,20,"2011-03-08 00:00:00",0,0,0,1,3.5,0,1,0,0,0,0,0,0,0,3,0
d6_UHGiMQb5_m8mi_tRc2Q,"Mermaid's Casino",Downtown,"32 Fremont St","Las Vegas",NV,89136,36.1715,-115.145,3.5,298,0,youUawZQk3YN_O6M1JXeDw,d6_UHGiMQb5_m8mi_tRc2Q,-edOrcdWGnNLodyAEadUKA,3,"2011-06-07 00:00:00",0,0,0,-edOrcdWGnNLodyAEadUKA,Tisha,274,"2009-01-06 00:00:00",109,15,54,17,3.97,10,4,1,1,0,9,26,17,17,7,2
dZB5VuI4mCVRz8qQUwUgCg,"Krazy Sushi",Centennial,"7160 N Durango Dr, Ste 140","Las Vegas",NV,89149,36.2915,-115.287,3.5,300,1,YCBSMtmB1w0kFaAZv5NVHw,dZB5VuI4mCVRz8qQUwUgCg,-eR4duGaRXE5Ckcg4hKS1A,3,"2014-11-11 00:00:00",7,0,0,-eR4duGaRXE5Ckcg4hKS1A,Meagan,7,"2014-11-11 00:00:00",3,0,0,1,4.29,0,0,0,0,0,0,0,0,0,0,0
oH6QAuoTLFaX97oqqpLTMg,"Familia Pizzeria",Southwest,"8090 S Durango Dr","Las Vegas",NV,89113,36.0425,-115.278,4,300,1,u4uaX4tWOK1UBSEZi_8JgQ,oH6QAuoTLFaX97oqqpLTMg,-fpgfZYdHU7jJw--jQUUBw,5,"2016-03-30 00:00:00",0,0,0,-fpgfZYdHU7jJw--jQUUBw,C,5,"2016-01-31 00:00:00",1,1,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0
pDSl9xdKJCdN4vu8z26cEA,"Coyote Ugly Saloon","The Strip","3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.1015,-115.174,2.5,297,1,BhiXMePZCvE1OJJCsOVVvg,pDSl9xdKJCdN4vu8z26cEA,-FXFOp12UdsPhIUI0-E_Vg,3,"2012-01-01 00:00:00",0,0,0,-FXFOp12UdsPhIUI0-E_Vg,Erik,5,"2011-05-28 00:00:00",0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0
pDSl9xdKJCdN4vu8z26cEA,"Coyote Ugly Saloon","The Strip","3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.1015,-115.174,2.5,297,1,iD2B0G1Ba92_q-SRCEc0PA,pDSl9xdKJCdN4vu8z26cEA,-GfDpE18tLY8cpcizWsbfQ,2,"2017-02-16 00:00:00",1,2,0,-GfDpE18tLY8cpcizWsbfQ,Tamara,37,"2013-06-01 00:00:00",7,0,1,1,4.21,0,0,0,0,0,0,0,0,0,0,0
W90h9VXUSdRz1_uJhweVPQ,Yusho,"The Strip","3770 Las Vegas Blvd S","Las Vegas",NV,89109,36.1045,-115.177,3,297,0,cJyCB4nPljFl42ukCHXOyQ,W90h9VXUSdRz1_uJhweVPQ,-gSz76_bKNJsKM2adr12yw,3,"2015-02-03 00:00:00",3,0,0,-gSz76_bKNJsKM2adr12yw,Norma,103,"2014-11-10 00:00:00",23,4,13,11,3.98,1,1,0,0,0,2,6,9,9,0,2
EZ4TljJvGenxrkM4JsqtZg,Sushi-ko,Northwest,"7101 W Craig Rd","Las Vegas",NV,89129,36.24,-115.25,3.5,297,1,xMBluLeZ3qaVOHUrZcJFbQ,EZ4TljJvGenxrkM4JsqtZg,-hdCiBNNw3VSLYl5jGWWEg,5,"2017-09-27 00:00:00",0,0,0,-hdCiBNNw3VSLYl5jGWWEg,Amy,2,"2014-05-13 00:00:00",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
pDSl9xdKJCdN4vu8z26cEA,"Coyote Ugly Saloon","The Strip","3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.1015,-115.174,2.5,297,1,3E1-R64ppQVsTWM0_0tdJA,pDSl9xdKJCdN4vu8z26cEA,-hqKOOH-v6CeKIEOdgjK-g,1,"2011-05-20 00:00:00",1,1,0,-hqKOOH-v6CeKIEOdgjK-g,Theresa,158,"2010-08-21 00:00:00",392,83,157,11,3.38,3,2,0,1,1,14,24,13,13,20,3
Po0QGzgwFrfnGJEi_akCjA,"KG BBQ",Chinatown,"4355 Spring Mountain Rd, Ste 201","Las Vegas",NV,89102,36.1259,-115.198,3,299,1,3fL1TqKL2ENhzj3tT2WqkA,Po0QGzgwFrfnGJEi_akCjA,-IBsRRmSNEiUfu0D2TmSsg,5,"2017-01-16 00:00:00",1,0,1,-IBsRRmSNEiUfu0D2TmSsg,"Christnah Kaye",2,"2012-11-09 00:00:00",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Po0QGzgwFrfnGJEi_akCjA,"KG BBQ",Chinatown,"4355 Spring Mountain Rd, Ste 201","Las Vegas",NV,89102,36.1259,-115.198,3,299,1,ajgmiJeBtJ673lXDx-shDg,Po0QGzgwFrfnGJEi_akCjA,-IkC_rz24kOaHsAMoTJT8A,4,"2014-05-18 00:00:00",1,0,0,-IkC_rz24kOaHsAMoTJT8A,Janyl,5,"2012-11-17 00:00:00",64,2,4,6,4.6,0,0,0,1,0,0,1,0,0,0,0
AoGCnRtwifZ2gTGHtg8KTw,"Tokyo Sushi House",Summerlin,"10040 W Cheyenne Ave, Ste 150","Las Vegas",NV,89129,36.2189,-115.314,3,298,0,rPdkZnmmM5f4AVSZOvNpaQ,AoGCnRtwifZ2gTGHtg8KTw,-iMJ3tm_BGMjBLSFhPUCRQ,5,"2017-05-03 00:00:00",1,0,1,-iMJ3tm_BGMjBLSFhPUCRQ,Jill,7,"2016-05-22 00:00:00",3,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0
oH6QAuoTLFaX97oqqpLTMg,"Familia Pizzeria",Southwest,"8090 S Durango Dr","Las Vegas",NV,89113,36.0425,-115.278,4,300,1,S0ZODty3Kq7HLlFjllYQMQ,oH6QAuoTLFaX97oqqpLTMg,-jpu5KX95HLWJdztLq53uQ,5,"2015-01-02 00:00:00",0,0,0,-jpu5KX95HLWJdztLq53uQ,Karin,69,"2012-07-11 00:00:00",39,6,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0
oH6QAuoTLFaX97oqqpLTMg,"Familia Pizzeria",Southwest,"8090 S Durango Dr","Las Vegas",NV,89113,36.0425,-115.278,4,300,1,C_kgVYLwnh7COCGP_CMasg,oH6QAuoTLFaX97oqqpLTMg,-k5yFUChotBMGQgHdFZvLQ,5,"2010-10-19 00:00:00",8,8,9,-k5yFUChotBMGQgHdFZvLQ,Pinky,451,"2008-03-02 00:00:00",46,15,14,32,3.75,28,6,0,1,2,16,27,40,40,26,1
uE1sIGWRJwpLPN858FRPRw,"Hershey's Chocolate World","The Strip","3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.102,-115.174,3.5,299,1,yfJDsQBoPZ7e_PjtgwIfAA,uE1sIGWRJwpLPN858FRPRw,-kO6984fXByyZm3_6z2JYg,4,"2015-04-14 00:00:00",0,0,1,-kO6984fXByyZm3_6z2JYg,Dominic,849,"2011-02-06 00:00:00",81,26,52,37,3.48,16,5,1,0,0,35,52,36,36,17,1
w6zW6gIyg1sI5V6Wag_SYg,"Teppan Bento",Southeast,"467 E Silverado Ranch, Unit 125","Las Vegas",NV,89183,36.0125,-115.153,4.5,299,1,5Ft37fq50_eaP7t5bj_eUg,w6zW6gIyg1sI5V6Wag_SYg,-L6cUtD2AdBIdfsJoAHdiQ,2,"2017-07-06 00:00:00",0,0,0,-L6cUtD2AdBIdfsJoAHdiQ,Travis,22,"2015-03-04 00:00:00",0,1,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0
w6zW6gIyg1sI5V6Wag_SYg,"Teppan Bento",Southeast,"467 E Silverado Ranch, Unit 125","Las Vegas",NV,89183,36.0125,-115.153,4.5,299,1,JOCZSW1t2VlfzYzT-eU9kQ,w6zW6gIyg1sI5V6Wag_SYg,-lCb6cD5EIePLyP3nqHMUA,5,"2015-12-09 00:00:00",1,0,1,-lCb6cD5EIePLyP3nqHMUA,Lisa,16,"2012-07-29 00:00:00",16,1,1,1,3.81,0,0,0,0,0,3,2,0,0,1,0
uE1sIGWRJwpLPN858FRPRw,"Hershey's Chocolate World","The Strip","3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.102,-115.174,3.5,299,1,-uHFTi2peb7P_arg3DBdxA,uE1sIGWRJwpLPN858FRPRw,-lCMo6oeRPQVOBu-27qsQQ,4,"2015-03-12 00:00:00",0,0,0,-lCMo6oeRPQVOBu-27qsQQ,Tina,19,"2014-12-05 00:00:00",0,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,1
d6_UHGiMQb5_m8mi_tRc2Q,"Mermaid's Casino",Downtown,"32 Fremont St","Las Vegas",NV,89136,36.1715,-115.145,3.5,298,0,vdVX7fFj64tVmeI57tg_-g,d6_UHGiMQb5_m8mi_tRc2Q,-lh59ko3dxChBSZ9U7LfUw,4,"2009-07-19 00:00:00",0,0,1,-lh59ko3dxChBSZ9U7LfUw,Lissa,852,"2007-08-14 00:00:00",457,150,343,123,3.69,417,35,57,17,21,114,308,482,482,346,24
AoGCnRtwifZ2gTGHtg8KTw,"Tokyo Sushi House",Summerlin,"10040 W Cheyenne Ave, Ste 150","Las Vegas",NV,89129,36.2189,-115.314,3,298,0,oUJ_XWDmwATcMEsmyIpc7w,AoGCnRtwifZ2gTGHtg8KTw,-M2VR8v73A-VlAtwFkHYqw,2,"2016-10-01 00:00:00",1,0,0,-M2VR8v73A-VlAtwFkHYqw,Giuseppe,4,"2014-11-11 00:00:00",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
d6_UHGiMQb5_m8mi_tRc2Q,"Mermaid's Casino",Downtown,"32 Fremont St","Las Vegas",NV,89136,36.1715,-115.145,3.5,298,0,EchsZTOFLcPWorf25nOJcQ,d6_UHGiMQb5_m8mi_tRc2Q,-Mg47qtfbcl8BaY-n76hrw,4,"2011-10-22 00:00:00",0,0,0,-Mg47qtfbcl8BaY-n76hrw,Jack,2,"2011-10-22 00:00:00",0,1,3,0,2.5,0,0,0,0,0,0,1,0,0,0,0
oH6QAuoTLFaX97oqqpLTMg,"Familia Pizzeria",Southwest,"8090 S Durango Dr","Las Vegas",NV,89113,36.0425,-115.278,4,300,1,v_etF-LwfHgCtYU-I1oj5w,oH6QAuoTLFaX97oqqpLTMg,-N24SEuVGLXufkhJW3QRuQ,5,"2011-08-11 00:00:00",2,0,0,-N24SEuVGLXufkhJW3QRuQ,Erin,4,"2009-08-23 00:00:00",0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0
pDSl9xdKJCdN4vu8z26cEA,"Coyote Ugly Saloon","The Strip","3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.1015,-115.174,2.5,297,1,pAu8UHgwGSoF0XbhoQewqQ,pDSl9xdKJCdN4vu8z26cEA,-N3H-yiM1-2gT0SQH1JFIA,2,"2009-08-29 00:00:00",0,0,0,-N3H-yiM1-2gT0SQH1JFIA,Tom,334,"2008-02-28 00:00:00",4,2,3,3,3.43,0,0,0,0,0,2,1,2,2,1,0
W90h9VXUSdRz1_uJhweVPQ,Yusho,"The Strip","3770 Las Vegas Blvd S","Las Vegas",NV,89109,36.1045,-115.177,3,297,0,xKTYKpCjwT0QiO5Rdgw-VA,W90h9VXUSdRz1_uJhweVPQ,-oV1wfWyQWioXyUOW5PLOA,1,"2017-05-12 00:00:00",0,0,0,-oV1wfWyQWioXyUOW5PLOA,Nick,11,"2013-02-10 00:00:00",0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0
fTtkz2RhWNAp6jKiIzXf_A,"Capriotti's Sandwich Shop","The Strip","322 W. Sahara","Las Vegas",NV,89102,36.1441,-115.161,4,296,1,Zt9_wjnf5Vo9E1X-I8C-Ug,fTtkz2RhWNAp6jKiIzXf_A,-Ow4AaVk8Y253eTADLxIDA,4,"2013-06-08 00:00:00",2,2,2,-Ow4AaVk8Y253eTADLxIDA,Shane,56,"2013-04-26 00:00:00",51,9,2,0,4.21,2,0,0,0,0,0,4,6,6,3,0
W90h9VXUSdRz1_uJhweVPQ,Yusho,"The Strip","3770 Las Vegas Blvd S","Las Vegas",NV,89109,36.1045,-115.177,3,297,0,QKCs1gIou6nw6Dhm9CsAKQ,W90h9VXUSdRz1_uJhweVPQ,-OZPBHH7RzyPIai4AlPWKA,2,"2017-01-11 00:00:00",2,2,2,-OZPBHH7RzyPIai4AlPWKA,Leo,458,"2007-10-26 00:00:00",165,230,142,55,3.82,81,10,9,11,1,75,139,159,159,36,5
W90h9VXUSdRz1_uJhweVPQ,Yusho,"The Strip","3770 Las Vegas Blvd S","Las Vegas",NV,89109,36.1045,-115.177,3,297,0,XSMuqf2lHAniUGZBIPgnwg,W90h9VXUSdRz1_uJhweVPQ,-pG4fm6eWoGLP6fIsFBvzw,3,"2015-09-24 00:00:00",4,0,1,-pG4fm6eWoGLP6fIsFBvzw,Teri,422,"2008-08-31 00:00:00",104,69,21,41,4.24,20,4,5,1,3,25,30,40,40,23,3
w6zW6gIyg1sI5V6Wag_SYg,"Teppan Bento",Southeast,"467 E Silverado Ranch, Unit 125","Las Vegas",NV,89183,36.0125,-115.153,4.5,299,1,3UfzvPj-2UEBB048-XkCQw,w6zW6gIyg1sI5V6Wag_SYg,-pJjB1K1-rtxZBOu8n7OWA,5,"2015-05-24 00:00:00",0,1,0,-pJjB1K1-rtxZBOu8n7OWA,Jonathan,21,"2011-03-07 00:00:00",2,0,0,8,3.57,0,0,0,0,0,1,1,3,3,0,0
W90h9VXUSdRz1_uJhweVPQ,Yusho,"The Strip","3770 Las Vegas Blvd S","Las Vegas",NV,89109,36.1045,-115.177,3,297,0,Lcqw4qhdWvX7P65VvWCHbA,W90h9VXUSdRz1_uJhweVPQ,-polB0C8kyLmbVBfjer6OA,3,"2015-10-17 00:00:00",1,0,0,-polB0C8kyLmbVBfjer6OA,Mark,11,"2011-02-21 00:00:00",1,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0
uE1sIGWRJwpLPN858FRPRw,"Hershey's Chocolate World","The Strip","3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.102,-115.174,3.5,299,1,T2633b8vTF2AXtn0pfPfJw,uE1sIGWRJwpLPN858FRPRw,-pzlhxN6-DtuvpX4blnTxw,3,"2015-06-19 00:00:00",3,0,1,-pzlhxN6-DtuvpX4blnTxw,Lucy,785,"2011-01-05 00:00:00",165,49,37,94,3.8,129,25,9,18,1,38,65,140,140,113,123
